row_number_demand,po_number,harvest_plan_id,leads_id,farmer_name,pond_province_name,pond_city_name,estimated_harvest_date,estimated_harvest_kg,estimated_size,doc_on_going,processing_name,distance_pond_to_processing_km,estimated_delivery_time,certification_type
7,,d43b6fe381,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-10-01,15000,20,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
34,,manu0308,512nd6ycctxh,Nefo Rhee / PT SMM,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-02,16000,40,101,PT Pabrik Lamongan BMI,712.0,16.0,
35,,manu0308,512nd6ycctxh,Nefo Rhee / PT SMM,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-02,16000,40,101,PT Pabrik Lamongan BMI,712.0,16.0,
110,,manu0308,512nd6ycctxh,Nefo Rhee / PT SMM,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-02,16000,40,101,PT Pabrik Lamongan BMI,712.0,16.0,
22,,d43b6fe358,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,8000,60,84,PT Pabrik Lamongan BMI,689.94,16.0,Tidak
26,,d43b6fe358,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,8000,60,84,PT Pabrik Lamongan BMI,689.94,16.0,Tidak
59,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
117,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
120,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
22,,d43b6fe453,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,15000,60,84,PT Piala Laut Indonesia ,157.57,4.0,Tidak
23,,d43b6fe353,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,2000,60,84,PT Pabrik Lamongan BMI,711.54,16.0,Tidak
30,,manu0298,512a86nwhfqz,Pak Eko (Nefo - Maronge),NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-01,18000,40,101,PT Pabrik Lamongan BMI,825.0,19.0,CBIB / Indogap
