row_number_demand,po_number,priority,row_number_supply_combination,is_fulfilled_demand,percent_fulfilled_demand,total_stock_supply_kg,count_farmer,count_processing,count_estimate_harvest_date,total_estimate_duration
96,,10.0,"348, 353, 358",yes,159.98,15000.0,1,2.0,1.0,41.0
96,,11.0,"353, 358",yes,138.65,13000.0,1,2.0,1.0,41.0
96,,12.0,353,no,85.32,8000.0,1,1.0,1.0,16.0
96,,13.0,348,no,21.33,2000.0,1,1.0,1.0,16.0
96,,14.0,358,no,53.33,5000.0,1,1.0,1.0,25.0
96,,15.0,"348, 358",no,74.66,7000.0,1,2.0,1.0,41.0
99,,1.0,130,yes,322.93,3000.0,1,1.0,1.0,16.0
101,,1.0,506,yes,8235.29,7000.0,1,1.0,1.0,7.0
101,,2.0,222,yes,114117.65,97000.0,1,1.0,1.0,14.0
101,,3.0,376,yes,17647.06,15000.0,1,1.0,1.0,15.0
101,,4.0,"376, 506",yes,25882.35,22000.0,2,1.0,1.0,22.0
101,,5.0,"222, 506",yes,122352.94,104000.0,2,1.0,2.0,21.0
101,,6.0,"222, 376",yes,131764.71,112000.0,2,1.0,2.0,29.0
101,,7.0,"222, 376, 506",yes,140000.0,119000.0,3,1.0,2.0,36.0
103,,1.0,506,yes,1323.25,7000.0,1,1.0,1.0,7.0
103,,2.0,222,yes,18336.48,97000.0,1,1.0,1.0,14.0
103,,3.0,376,yes,2835.54,15000.0,1,1.0,1.0,15.0
103,,4.0,"376, 506",yes,4158.79,22000.0,2,1.0,1.0,22.0
103,,5.0,"222, 506",yes,19659.74,104000.0,2,1.0,2.0,21.0
103,,6.0,"222, 376",yes,21172.02,112000.0,2,1.0,2.0,29.0
103,,7.0,"222, 376, 506",yes,22495.27,119000.0,3,1.0,2.0,36.0
104,,1.0,506,yes,186.37,7000.0,1,1.0,1.0,7.0
104,,2.0,222,yes,2582.53,97000.0,1,1.0,1.0,14.0
104,,3.0,376,yes,399.36,15000.0,1,1.0,1.0,15.0
104,,4.0,"376, 506",yes,585.73,22000.0,2,1.0,1.0,22.0
104,,5.0,"222, 506",yes,2768.9,104000.0,2,1.0,2.0,21.0
104,,6.0,"222, 376",yes,2981.9,112000.0,2,1.0,2.0,29.0
104,,7.0,"222, 376, 506",yes,3168.26,119000.0,3,1.0,2.0,36.0
105,,1.0,680,yes,143.64,5000.0,1,1.0,1.0,15.0
106,,1.0,680,yes,154.94,5000.0,1,1.0,1.0,15.0
109,,1.0,680,yes,1562.5,5000.0,1,1.0,1.0,15.0
110,,1.0,659,yes,348.43,16000.0,1,1.0,1.0,16.0
110,,2.0,649,yes,391.99,18000.0,1,1.0,1.0,19.0
110,,3.0,"649, 659",yes,740.42,34000.0,2,1.0,2.0,35.0
111,,1.0,130,no,98.01,3000.0,1,1.0,1.0,16.0
112,,1.0,443,yes,133.33,15000.0,1,1.0,1.0,4.0
112,,2.0,"358, 443",yes,177.78,20000.0,1,1.0,1.0,25.0
112,,3.0,"348, 353, 443",yes,222.22,25000.0,1,2.0,1.0,20.0
112,,4.0,"353, 443",yes,204.44,23000.0,1,2.0,1.0,20.0
112,,5.0,"348, 443",yes,151.11,17000.0,1,2.0,1.0,20.0
112,,6.0,"348, 353, 358, 443",yes,266.67,30000.0,1,2.0,1.0,41.0
112,,7.0,"353, 358, 443",yes,248.89,28000.0,1,2.0,1.0,41.0
112,,8.0,"348, 358, 443",yes,195.56,22000.0,1,2.0,1.0,41.0
112,,9.0,"348, 353, 358",yes,133.33,15000.0,1,2.0,1.0,41.0
112,,10.0,"353, 358",yes,115.56,13000.0,1,2.0,1.0,41.0
112,,11.0,"348, 353",no,88.89,10000.0,1,1.0,1.0,16.0
112,,12.0,353,no,71.11,8000.0,1,1.0,1.0,16.0
112,,13.0,348,no,17.78,2000.0,1,1.0,1.0,16.0
112,,14.0,358,no,44.44,5000.0,1,1.0,1.0,25.0
112,,15.0,"348, 358",no,62.22,7000.0,1,2.0,1.0,41.0
115,,1.0,130,yes,215.36,3000.0,1,1.0,1.0,16.0
117,,1.0,506,yes,6862.75,7000.0,1,1.0,1.0,7.0
117,,2.0,222,yes,95098.04,97000.0,1,1.0,1.0,14.0
