row_number_demand,po_number,priority,row_number_supply_combination,is_fulfilled_demand,percent_fulfilled_demand,total_stock_supply_kg,count_farmer,count_processing,count_estimate_harvest_date,total_estimate_duration
26,,13.0,"348, 358",yes,101.11,7000.0,1,2.0,1.0,41.0
26,,14.0,348,no,28.89,2000.0,1,1.0,1.0,16.0
26,,15.0,358,no,72.22,5000.0,1,1.0,1.0,25.0
30,,1.0,659,yes,616.33,16000.0,1,1.0,1.0,16.0
30,,2.0,649,yes,693.37,18000.0,1,1.0,1.0,19.0
30,,3.0,"649, 659",yes,1309.71,34000.0,2,1.0,2.0,35.0
31,,1.0,130,yes,115.56,3000.0,1,1.0,1.0,16.0
33,,1.0,659,yes,272.34,16000.0,1,1.0,1.0,16.0
33,,2.0,649,yes,306.38,18000.0,1,1.0,1.0,19.0
33,,3.0,"649, 659",yes,578.72,34000.0,2,1.0,2.0,35.0
34,,1.0,659,yes,120.17,16000.0,1,1.0,1.0,16.0
34,,2.0,649,yes,135.19,18000.0,1,1.0,1.0,19.0
34,,3.0,"649, 659",yes,255.35,34000.0,2,1.0,2.0,35.0
35,,1.0,659,yes,272.34,16000.0,1,1.0,1.0,16.0
35,,2.0,649,yes,306.38,18000.0,1,1.0,1.0,19.0
35,,3.0,"649, 659",yes,578.72,34000.0,2,1.0,2.0,35.0
36,,1.0,443,yes,303.83,15000.0,1,1.0,1.0,4.0
36,,2.0,861,yes,162.04,8000.0,1,1.0,1.0,12.0
36,,3.0,"348, 353",yes,202.55,10000.0,1,1.0,1.0,16.0
36,,4.0,353,yes,162.04,8000.0,1,1.0,1.0,16.0
36,,5.0,"358, 443",yes,405.1,20000.0,1,1.0,1.0,25.0
