row_number,customer_name,customer_id,customer_area,customer_location,demand_month,po_number,ordered_sku_code,ordered_sku_name,ordered_sku_type,etd,ordered_treat_status,order_notes,order_size,order_unit_before,translation_unit,size_convertion,order_unit_after,qty_order_lb,qty_order_kg,demand_additional_notes,raw_material_size,supply_unit,total_rm_kg,supply_notes
102,,,Marketplace,,October,,,,P&D - Raw,,,"SKP, Halal",21 - 30,(PCs/Kg),P&D - Raw (PCs/Kg),21 - 30,,,99.0,, 11 - 15 ,(PCs/Kg),190.0,
103,,,Marketplace,,October,,,,P&D - Raw,,,"SKP, Halal",31 - 40,(PCs/Kg),P&D - Raw (PCs/Kg),31 - 40,,,275.0,, 16 - 21 ,(PCs/Kg),529.0,
104,,,Marketplace,,October,,,,P&D - Raw,,,"SKP, Halal",41 - 50,(PCs/Kg),P&D - Raw (PCs/Kg),41 - 50,,,1953.0,, 21 - 26 ,(PCs/Kg),3756.0,
105,,,Marketplace,,October,,,,P&D - Raw,,,"SKP, Halal",51 - 60,(PCs/Kg),P&D - Raw (PCs/Kg),51 - 60,,,1810.0,, 26 - 31 ,(PCs/Kg),3481.0,
106,,,Marketplace,,October,,,,P&D - Raw,,,"SKP, Halal",61 - 70,(PCs/Kg),P&D - Raw (PCs/Kg),61 - 70,,,1678.0,, 32 - 36 ,(PCs/Kg),3227.0,
107,,,Marketplace,,October,,,,PDTO - Raw,,,"BPOM, Halal",21 - 25,(PCs/Kg),PDTO - Raw (PCs/Kg),21 - 25,,,55.0,, 12 - 14 ,(PCs/Kg),100.0,
108,,,Marketplace,,October,,,,PDTO - Raw,,,"BPOM, Halal",41 - 50,(PCs/Kg),PDTO - Raw (PCs/Kg),41 - 50,,,1678.0,, 23 - 28 ,(PCs/Kg),3051.0,
109,,,Marketplace,,October,,,,PDTO - Raw,,,"BPOM, Halal",51 - 60,(PCs/Kg),PDTO - Raw (PCs/Kg),51 - 60,,,176.0,, 28 - 33 ,(PCs/Kg),320.0,
110,,,Marketplace,,November,,,Fresh,HOSO - Raw,,,,41 - 50,(PCs/Kg),HOSO - Raw (PCs/Kg),41 - 50,,,4500.0,, 40 - 49 ,(PCs/Kg),4592.0,
111,,,Marketplace,,November,,,Fresh,HOSO - Raw,,,,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,3000.0,, 50 - 59 ,(PCs/Kg),3061.0,
112,,,Marketplace,,November,,,Fresh,HOSO - Raw,,,,61 - 70,(PCs/Kg),HOSO - Raw (PCs/Kg),61 - 70,,,11025.0,, 59 - 68 ,(PCs/Kg),11250.0,
113,,,Marketplace,,November,,,Fresh,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,7650.0,, 89 - 117 ,(PCs/Kg),7806.0,
114,,,Marketplace,,November,,,Frozen Broken ,PDTO - Raw,,,"BPOM, Halal",Any Kind,(PCs/Kg),PDTO - Raw (PCs/Kg),Any Kind,,,18211.0,,UNDEFINED,(PCs/Kg),33111.0,
115,,,Marketplace,,November,,,,HOSO - Raw,,,Halal,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,1365.0,, 50 - 59 ,(PCs/Kg),1393.0,
116,,,Marketplace,,November,,,,P&D - Cooked,,,"BPOM, Halal",21 - 30,(PCs/Kg),P&D - Cooked (PCs/Kg),21 - 30,,,1320.0,, 9 - 13  ,(PCs/Kg),2986.0,
117,,,Marketplace,,November,,,,P&D - Raw,,,"SKP, Halal",31 - 40,(PCs/Kg),P&D - Raw (PCs/Kg),31 - 40,,,53.0,, 16 - 21 ,(PCs/Kg),102.0,
118,,,Marketplace,,November,,,,P&D - Raw,,,"SKP, Halal",21 - 30,(PCs/Kg),P&D - Raw (PCs/Kg),21 - 30,,,119.0,, 11 - 15 ,(PCs/Kg),229.0,
119,,,Marketplace,,November,,,,P&D - Raw,,,"SKP, Halal",31 - 40,(PCs/Kg),P&D - Raw (PCs/Kg),31 - 40,,,330.0,, 16 - 21 ,(PCs/Kg),635.0,
120,,,Marketplace,,November,,,,P&D - Raw,,,"SKP, Halal",41 - 50,(PCs/Kg),P&D - Raw (PCs/Kg),41 - 50,,,2343.0,, 21 - 26 ,(PCs/Kg),4506.0,
121,,,Marketplace,,November,,,,P&D - Raw,,,"SKP, Halal",51 - 60,(PCs/Kg),P&D - Raw (PCs/Kg),51 - 60,,,2171.0,, 26 - 31 ,(PCs/Kg),4175.0,
122,,,Marketplace,,November,,,,P&D - Raw,,,"SKP, Halal",61 - 70,(PCs/Kg),P&D - Raw (PCs/Kg),61 - 70,,,2013.0,, 32 - 36 ,(PCs/Kg),3871.0,
123,,,Marketplace,,November,,,,PDTO - Raw,,,"BPOM, Halal",21 - 25,(PCs/Kg),PDTO - Raw (PCs/Kg),21 - 25,,,66.0,, 12 - 14 ,(PCs/Kg),120.0,
124,,,Marketplace,,November,,,,PDTO - Raw,,,"BPOM, Halal",41 - 50,(PCs/Kg),PDTO - Raw (PCs/Kg),41 - 50,,,2013.0,, 23 - 28 ,(PCs/Kg),3660.0,
125,,,Marketplace,,November,,,,PDTO - Raw,,,"BPOM, Halal",51 - 60,(PCs/Kg),PDTO - Raw (PCs/Kg),51 - 60,,,211.0,, 28 - 33 ,(PCs/Kg),384.0,
126,,,Marketplace,,December,,,Fresh,HOSO - Raw,,,,41 - 50,(PCs/Kg),HOSO - Raw (PCs/Kg),41 - 50,,,4950.0,, 40 - 49 ,(PCs/Kg),5051.0,
127,,,Marketplace,,December,,,Fresh,HOSO - Raw,,,,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,3300.0,, 50 - 59 ,(PCs/Kg),3367.0,
128,,,Marketplace,,December,,,Fresh,HOSO - Raw,,,,61 - 70,(PCs/Kg),HOSO - Raw (PCs/Kg),61 - 70,,,12128.0,, 59 - 68 ,(PCs/Kg),12376.0,
129,,,Marketplace,,December,,,Fresh,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,8415.0,, 89 - 117 ,(PCs/Kg),8587.0,
130,,,Marketplace,,December,,,Frozen Broken ,PDTO - Raw,,,"BPOM, Halal",Any Kind,(PCs/Kg),PDTO - Raw (PCs/Kg),Any Kind,,,21853.0,,#N/A,(PCs/Kg),39733.0,
131,,,Marketplace,,December,,,,HOSO - Raw,,,Halal,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,4095.0,, 50 - 59 ,(PCs/Kg),4179.0,
132,,,Marketplace,,December,,,,P&D - Cooked,,,"BPOM, Halal",21 - 30,(PCs/Kg),P&D - Cooked (PCs/Kg),21 - 30,,,1716.0,, 9 - 13  ,(PCs/Kg),3882.0,
133,,,Marketplace,,December,,,,P&D - Raw,,,"SKP, Halal",31 - 40,(PCs/Kg),P&D - Raw (PCs/Kg),31 - 40,,,69.0,, 16 - 21 ,(PCs/Kg),133.0,
134,,,Marketplace,,December,,,,P&D - Raw,,,"SKP, Halal",21 - 30,(PCs/Kg),P&D - Raw (PCs/Kg),21 - 30,,,154.0,, 11 - 15 ,(PCs/Kg),296.0,
135,,,Marketplace,,December,,,,P&D - Raw,,,"SKP, Halal",31 - 40,(PCs/Kg),P&D - Raw (PCs/Kg),31 - 40,,,429.0,, 16 - 21 ,(PCs/Kg),825.0,
136,,,Marketplace,,December,,,,P&D - Raw,,,"SKP, Halal",41 - 50,(PCs/Kg),P&D - Raw (PCs/Kg),41 - 50,,,3046.0,, 21 - 26 ,(PCs/Kg),5858.0,
137,,,Marketplace,,December,,,,P&D - Raw,,,"SKP, Halal",51 - 60,(PCs/Kg),P&D - Raw (PCs/Kg),51 - 60,,,2823.0,, 26 - 31 ,(PCs/Kg),5429.0,
138,,,Marketplace,,December,,,,P&D - Raw,,,"SKP, Halal",61 - 70,(PCs/Kg),P&D - Raw (PCs/Kg),61 - 70,,,2617.0,, 32 - 36 ,(PCs/Kg),5033.0,
139,,,Marketplace,,December,,,,PDTO - Raw,,,"BPOM, Halal",21 - 25,(PCs/Kg),PDTO - Raw (PCs/Kg),21 - 25,,,86.0,, 12 - 14 ,(PCs/Kg),156.0,
140,,,Marketplace,,December,,,,PDTO - Raw,,,"BPOM, Halal",41 - 50,(PCs/Kg),PDTO - Raw (PCs/Kg),41 - 50,,,2617.0,, 23 - 28 ,(PCs/Kg),4758.0,
141,,,Marketplace,,December,,,,PDTO - Raw,,,"BPOM, Halal",51 - 60,(PCs/Kg),PDTO - Raw (PCs/Kg),51 - 60,,,275.0,, 28 - 33 ,(PCs/Kg),500.0,
142,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,
152,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
153,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
154,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
155,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
156,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
157,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
158,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
159,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
160,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
161,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
162,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
163,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
164,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
165,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
166,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
167,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
168,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
169,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
170,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
171,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
172,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
173,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
174,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
175,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
176,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
177,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
178,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
179,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
180,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
181,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
182,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
183,,,Marketplace,,,,,,,,,,,,,,,,,,,,,
