row_number_demand,po_number,demand_month,customer_name,customer_id,customer_area,customer_location,etd,etd_type,ordered_sku_code,ordered_sku_name,ordered_sku_type,raw_material_size,total_rm_kg,order_notes
34,,December,NTUC,,Asia,Singapore,2023-10-16T14:39:08.703508+07:00,estimated,,"20 packet x 400g / 8kg net weight per carton
Carton: 20 packet
IQF
MC: plain white
Inner: 5 colours",P&D - Raw, 35 - 46 ,13315.0,Certification: BAP 2 Star
35,,December,NTUC,,Asia,Singapore,2023-10-16T14:39:08.703508+07:00,estimated,,"12 packet x 700g / 8.4kg net weight per carton
Carton: 12 packet
IQF
MC: plain white
Inner: 5 colours",PDTO - Raw,37 - 46,5875.0,Certification: BAP 2 Star
36,,December,NTUC,,Asia,Singapore,2023-10-16T14:39:08.703508+07:00,estimated,,"20 packet x 400g / 8kg net weight per carton
Carton: 20 packet
IQF
MC: plain white
Inner: 5 colours",PDTO - Cooked,60 - 71,4937.0,Certification: BAP 2 Star
37,,December,NTUC,,Asia,Singapore,2023-10-16T14:39:08.703508+07:00,estimated,,"20 packet x 400g / 8kg net weight per carton
Carton: 20 packet
IQF
MC: plain white
Inner: 5 colours",P&D - Cooked,70 - 80,5222.0,Certification: BAP 2 Star
38,,September,AEON,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Cooked, 9 - 13  ,2262.0,BPOM Halal & White Labeling (Could be exclusive brand)
39,,September,AEON,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 11 - 15 ,173.0,
40,,September,AEON,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 50 - 59 ,2041.0,
41,,September,Superindo,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,HOSO - Raw, 50 - 59 ,510.0,
42,,September,Superindo,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 59 - 68 ,6122.0,
43,,September,HERO,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 59 - 68 ,612.0,
44,,September,GS Supermarket ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 59 - 68 ,765.0,
45,,September,Yogya,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 40 - 49 ,3061.0,
46,,September,Waroeng SS,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw,#N/A,306.0,
47,,September,Native,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 16 - 21 ,77.0,Sustainable  Stock & HALAL
48,,September,"Eat Well (Tawan, Ichiban)",,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 23 - 28 ,2136.0,"Sustainable  Stock, BPOM and HALAL"
49,,September,Eat Well ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 21 - 26 ,2260.0,"Sustainable  Stock, BPOM and HALAL"
50,,September,Eat Well ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 26 - 31 ,2260.0,"Sustainable  Stock, BPOM and HALAL"
51,,September,Eat Well ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 32 - 36 ,2260.0,"Sustainable  Stock, BPOM and HALAL"
52,,September,Eat Well Bandung,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 23 - 28 ,636.0,"Sustainable  Stock, BPOM and HALAL"
53,,September,Eat Well Bandung,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 21 - 26 ,673.0,"Sustainable  Stock, BPOM and HALAL"
54,,September,Eat Well Bandung,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 26 - 31 ,673.0,"Sustainable  Stock, BPOM and HALAL"
55,,September,Eat Well Bandung,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 32 - 36 ,673.0,"Sustainable  Stock, BPOM and HALAL"
56,,September,Ichiyo,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 12 - 14 ,91.0,Sustainable  Stock
57,,September,Ichiyo,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Frozen Broken,PDTO - Raw,UNDEFINED,91.0,Sustainable  Stock
58,,September,Mie Gacoan Malang ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Frozen Broken,PDTO - Raw,UNDEFINED,27273.0,"Sustainable  Stock, BPOM and HALAL"
59,,September,Imperial Dimsum,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 16 - 21 ,481.0,"Sustainable  Stock, BPOM and HALAL"
60,,September,Imperial Dimsum,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 21 - 26 ,481.0,"Sustainable  Stock, BPOM and HALAL"
61,,September,Pasar Simpang Dago ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
62,,September,Pasar Sadang Serang ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
63,,September,Pasar Bermartabat,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
64,,September,Pasar Geger Kalong ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
65,,September,Pasar Cibogo ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
66,,September,Pasar Pamoyanan,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,102.0,
67,,September,Pasar Cicaheum,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
68,,September,Pasar Cikaso,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,102.0,
69,,September,Pasar Ujung Berung,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
70,,September,Pasar Menteng Pulo,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
